ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Graph Data Model,,FOUND
2,World Models,1,FOUND
3,GraphRAG Pattern,1|2,FOUND
4,Vector Stores,1,FOUND
5,Semantic Indexes,4,FOUND
6,Real-Time Systems,1|2,FOUND
7,Knowledge Triangle,1,FOUND
8,Data Layer,7,FOUND
9,Information Layer,7|8,FOUND
10,Knowledge Layer,7|9,FOUND
11,Sensor Data,8,FOUND
12,Page Rank Algorithm,1|19|20,FOUND
13,Relational Models,1,FOUND
14,Analytical Models,13,FOUND
15,Key-Value Stores,1,FOUND
16,Document Models,1,FOUND
17,ISO GQL Standard,1|19|20,FOUND
18,Graph and LLM Integration,1|3|4,FOUND
19,Nodes,1,FOUND
20,Edges,1|19,FOUND
21,Properties,19|20,FOUND
22,Simple Data Types,21,FOUND
23,Complex Data Types,21|22,FOUND
24,Paths,19|20,FOUND
25,Dependencies,19|20|24,FOUND
26,Graph Quality,1|19|20|21,FOUND
27,Quality Measures,26,FOUND
28,Graph Constraints,26|27,FOUND
29,Quality Assertions,26|28,FOUND
30,Quality Scores,27|29,FOUND
31,Quality Dashboards,30,FOUND
32,Customer Definition,19|21,CUST
33,Individual Customers,32,CUST
34,Customer Locations,32|33,CUST
35,Customer Addresses,34,CUST
36,Household Modeling,33|20,CUST
37,Family Relationships,36|20,CUST
38,Corporate Customers,32,CUST
39,Organization Customers,32|38,CUST
40,License Modeling,32|21,CUST
41,Abuse Detection,32|20|24,CUST
42,IP Address Tracking,41|21,CUST
43,Product Lists,19|21,PROD
44,Product Groupings,43|20,PROD
45,Product Taxonomies,43|44,PROD
46,Multiple Taxonomies,45,PROD
47,Classification Tools,45|46,PROD
48,Product Similarity,43|4,PROD
49,Product Embeddings,48|4,PROD
50,Product Metadata,43|21,PROD
51,Spatial Challenges,1,SPACE
52,Location Modeling,19|21|51,SPACE
53,Longitude and Latitude,52,SPACE
54,Distance Calculations,53,SPACE
55,Address Modeling,52|35,SPACE
56,City/County/State Model,52|20,SPACE
57,Metropolitan Regions,56,SPACE
58,Sales Regions,56|57,SPACE
59,Urban/Rural Regions,56,SPACE
60,Social Determinants,59,SPACE
61,Road Modeling,52|20|24,SPACE
62,Shortest Path,61|24|54,SPACE
63,Traveling Salesperson,62,SPACE
64,Bus Routes,61|62,SPACE
65,Provider Distance,54|61,SPACE
66,Geospatial Models,52|53|54|61,SPACE
67,DateTime Structure,21,TIME
68,Time Trees,19|20|67,TIME
69,Year/Month/Day Hierarchy,68,TIME
70,Hour/Minute/Second,69,TIME
71,Millisecond Precision,70,TIME
72,Financial Time,67|68,TIME
73,Organization Calendar,68|72,TIME
74,Time Exceptions,67|68,TIME
75,Daylight Savings Time,74,TIME
76,Knowledge Graphs,1|10|19|20,KNOWL
77,The Semantic Spectrum,76,KNOWL
78,SKOS Standard,76|77,KNOWL
79,SKOS in LPG,78|19|20,KNOWL
80,Acronyms and Abbreviations,76|21,KNOWL
81,Business Glossaries,76|78,KNOWL
82,Taxonomies,76|78|45,KNOWL
83,Ontologies,76|82,KNOWL
84,Concept Nodes,19|76,KNOWL
85,Concept Labels,84|21,KNOWL
86,Preferred Labels,85,KNOWL
87,Alternate Labels,85|86,KNOWL
88,Broader/Narrower,84|20,KNOWL
89,Semantic Variability,76|87,KNOWL
90,Concept Schemas,76|83,KNOWL
91,GraphRAG Challenges,3|76,KNOWL
92,Language in Graphs,76|19|20,LANG
93,Words in Graphs,92,LANG
94,WordNet,93,LANG
95,NLP Basics,92|93,LANG
96,Entity Extraction,95,LANG
97,Sentence Modeling,93|95,LANG
98,Paragraph Modeling,97,LANG
99,Document Modeling,98,LANG
100,Document Pipelines,99|96,LANG
101,Synonyms,93|94,LANG
102,Synonym Rings,101,LANG
103,Antonyms,93|94,LANG
104,Fraud/Waste/Abuse,1|20|24,HEALTH
105,Anti-Money Laundering,104,HEALTH
106,Unusual Relationships,104|20|24,HEALTH
107,Investigations,104|106,HEALTH
108,Patient Modeling,32|19|21,HEALTH
109,Clinical Data,108|21,HEALTH
110,Claims,108|109,HEALTH
111,Providers,108|19,HEALTH
112,Population Health,108|20,HEALTH
113,Disease Spread,112|20|24,HEALTH
114,Benefit Plans,108|21,HEALTH
115,Plan Coverage,114,HEALTH
116,Healthcare Costs,110|115,HEALTH
117,Value-Based Care,116,HEALTH
118,Patient Similarity,108|4|48,HEALTH
119,Care Paths,108|24,HEALTH
120,FHIR,108|109,HEALTH
121,Clinical Decision Support,120|119,HEALTH
122,Modeling Healthcare Knowledge,76|108,HEALTH
123,FHIR Approach,120,HEALTH
124,FHIR Four Level Model,123,HEALTH
125,L1: Narrative,124,HEALTH
126,L2: Semi-Structures,124|125,HEALTH
127,L3: Structure,124|126,HEALTH
128,L4: Executable,124|127,HEALTH
129,Clinical Quality Language,128|121,HEALTH
130,Data Connection,19|20,ADV
131,Identical Attributes,130|21,ADV
132,Similar Attributes,131,ADV
133,SoundEx Algorithm,132,ADV
134,Nickname Matching,132|133,ADV
135,Similarity Metrics,132,ADV
136,Embeddings,4|135,ADV
137,Vector Stores ER,136|4,ADV
138,Graph Advantage for ER,130|137,ADV
139,Digital Twins,1|2|19|20,ADV
140,Building Models,139|52,ADV
141,Manufacturing Models,139|43,ADV
142,Supply Chain Models,139|43|52,ADV
143,Real-time Updates,139|6,ADV
144,Graph Advantages DT,139|143,ADV
145,Scene Graphs,19|20|52,ADV
146,Pixel Classification,145,ADV
147,Movement Prediction,145|146,ADV
148,Autonomous Vehicles,145|147|61,ADV
149,Robotics Applications,145|147,ADV
